> from tabulate import tabulate
> print tabulate(sp500, headers='keys', tablefmt='psql', showindex=False)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)


+---------+---------+---------+---------+------------------+-------------+----------------+
|    Open |    High |     Low |   Close |           Volume |   Dividends |   Stock Splits |
|   21.95 |   21.95 |   21.95 |   21.95 |      0           |           0 |              0 |
|   21.99 |   21.99 |   21.99 |   21.99 |      0           |           0 |              0 |
|   21.91 |   21.91 |   21.91 |   21.91 |      0           |           0 |              0 |
|   21.65 |   21.65 |   21.65 |   21.65 |      0           |           0 |              0 |
|   22    |   22    |   22    |   22    |      0           |           0 |              0 |
|   21.76 |   21.76 |   21.76 |   21.76 |      0           |           0 |              0 |
|   21.68 |   21.68 |   21.68 |   21.68 |      0           |           0 |              0 |
|   21.99 |   21.99 |   21.99 |   21.99 |      0           |           0 |              0 |
|   21.95 |   21.95 |   21.95 |   21.95 |      0           |           0 |              0 |
|   22.24 |   22.24 |   22.24 |   22.24 |      0           |           0 |              0 |
|   22.24 |   22.24 |   22.24 |   22.24 |      0           |           0 |              0 |
|   22.39 |   22.39 |   22.39 |   22.39 |      0           |           0 |              0 |
|   22.55 |   22.55 |   22.55 |   22.55 |      0           |           0 |              0 |
|   22.84 |   22.84 |   22.84 |   22.84 |      0           |           0 |              0 |
|   22.91 |   22.91 |   22.91 |   22.91 |      0           |           0 |              0 |
|   22.91 |   22.91 |   22.91 |   22.91 |      0           |           0 |              0 |
|   23.03 |   23.03 |   23.03 |   23.03 |      0           |           0 |              0 |
|   23.37 |   23.37 |   23.37 |   23.37 |      0           |           0 |              0 |
|   23.37 |   23.37 |   23.37 |   23.37 |      0           |           0 |              0 |
|   23.57 |   23.57 |   23.57 |   23.57 |      0           |           0 |              0 |
|   23.22 |   23.22 |   23.22 |   23.22 |      0           |           0 |              0 |
|   23.52 |   23.52 |   23.52 |   23.52 |      0           |           0 |              0 |
|   23.7  |   23.7  |   23.7  |   23.7  |      0           |           0 |              0 |
|   23.8  |   23.8  |   23.8  |   23.8  |      0           |           0 |              0 |
|   23.91 |   23.91 |   23.91 |   23.91 |      0           |           0 |              0 |
|   24.19 |   24.19 |   24.19 |   24.19 |      0           |           0 |              0 |
|   24.28 |   24.28 |   24.28 |   24.28 |      0           |           0 |              0 |
|   23.85 |   23.85 |   23.85 |   23.85 |      0           |           0 |              0 |
|   23.91 |   23.91 |   23.91 |   23.91 |      0           |           0 |              0 |
|   23.81 |   23.81 |   23.81 |   23.81 |      0           |           0 |              0 |
|   22.91 |   22.91 |   22.91 |   22.91 |      0           |           0 |              0 |
|   22.36 |   22.36 |   22.36 |   22.36 |      0           |           0 |              0 |
|   22.31 |   22.31 |   22.31 |   22.31 |      0           |           0 |              0 |
