+---------------------+---------+---------+---------+---------+----------------+----------+---------------+
|                     |    Open |    High |     Low |   Close |   Daily_Change |   Target |   Predictions |
| 2015-12-29 00:00:00 | 2060.54 | 2081.56 | 2060.54 | 2078.36 |    0.00864825  |        0 |             0 |
| 2015-12-28 00:00:00 | 2057.77 | 2057.77 | 2044.2  | 2056.5  |   -0.000617182 |        1 |             0 |
| 2015-12-24 00:00:00 | 2063.52 | 2067.36 | 2058.73 | 2060.99 |   -0.00122607  |        0 |             1 |
| 2015-12-23 00:00:00 | 2042.2  | 2064.73 | 2042.2  | 2064.29 |    0.0108168   |        0 |             0 |
| 2015-12-22 00:00:00 | 2023.15 | 2042.74 | 2020.49 | 2038.97 |    0.00781946  |        1 |             1 |
| 2015-12-21 00:00:00 | 2010.27 | 2022.9  | 2005.93 | 2021.15 |    0.00541221  |        1 |             1 |
| 2015-12-18 00:00:00 | 2040.81 | 2040.81 | 2005.33 | 2005.55 |   -0.0172775   |        1 |             1 |
| 2015-12-17 00:00:00 | 2073.76 | 2076.37 | 2041.66 | 2041.89 |   -0.0153682   |        0 |             1 |
| 2015-12-16 00:00:00 | 2046.5  | 2076.72 | 2042.43 | 2073.07 |    0.0129832   |        0 |             1 |
| 2015-12-15 00:00:00 | 2025.55 | 2053.87 | 2025.55 | 2043.41 |    0.00881735  |        1 |             1 |
| 2015-12-14 00:00:00 | 2013.37 | 2022.92 | 1993.26 | 2021.94 |    0.00425652  |        1 |             1 |
| 2015-12-11 00:00:00 | 2047.27 | 2047.27 | 2008.8  | 2012.37 |   -0.0170471   |        1 |             1 |
| 2015-12-10 00:00:00 | 2047.93 | 2067.65 | 2045.67 | 2052.23 |    0.00209965  |        0 |             1 |
| 2015-12-09 00:00:00 | 2061.17 | 2080.33 | 2036.53 | 2047.62 |   -0.0065739   |        1 |             1 |
| 2015-12-08 00:00:00 | 2073.39 | 2073.85 | 2052.32 | 2063.59 |   -0.00472646  |        0 |             1 |
| 2015-12-07 00:00:00 | 2090.42 | 2090.42 | 2066.78 | 2077.07 |   -0.00638621  |        0 |             1 |
| 2015-12-04 00:00:00 | 2051.24 | 2093.84 | 2051.24 | 2091.69 |    0.0197198   |        0 |             1 |
| 2015-12-03 00:00:00 | 2080.71 | 2085    | 2042.35 | 2049.62 |   -0.0149419   |        1 |             1 |
| 2015-12-02 00:00:00 | 2101.71 | 2104.27 | 2077.11 | 2079.51 |   -0.0105628   |        0 |             1 |
| 2015-12-01 00:00:00 | 2082.93 | 2103.37 | 2082.93 | 2102.63 |    0.00945781  |        0 |             1 |
| 2015-11-30 00:00:00 | 2090.95 | 2093.81 | 2080.41 | 2080.41 |   -0.00504079  |        1 |             1 |
| 2015-11-27 00:00:00 | 2088.82 | 2093.29 | 2084.13 | 2090.11 |    0.000617592 |        0 |             1 |
| 2015-11-25 00:00:00 | 2089.3  | 2093    | 2086.3  | 2088.87 |   -0.000205778 |        1 |             1 |
| 2015-11-24 00:00:00 | 2084.42 | 2094.12 | 2070.29 | 2089.14 |    0.0022644   |        0 |             1 |
| 2015-11-23 00:00:00 | 2089.41 | 2095.61 | 2081.39 | 2086.59 |   -0.00134958  |        1 |             1 |
| 2015-11-20 00:00:00 | 2082.82 | 2097.06 | 2082.82 | 2089.17 |    0.00304868  |        0 |             1 |
| 2015-11-19 00:00:00 | 2083.7  | 2086.74 | 2078.76 | 2081.24 |   -0.00118057  |        1 |             1 |
| 2015-11-18 00:00:00 | 2051.99 | 2085.31 | 2051.99 | 2083.58 |    0.0153949   |        0 |             1 |
| 2015-11-17 00:00:00 | 2053.67 | 2066.69 | 2045.9  | 2050.44 |   -0.00157278  |        1 |             1 |
| 2015-11-16 00:00:00 | 2022.08 | 2053.22 | 2019.39 | 2053.19 |    0.0153851   |        0 |             1 |
| 2015-11-13 00:00:00 | 2044.64 | 2044.64 | 2022.02 | 2023.04 |   -0.0105642   |        1 |             1 |
| 2015-11-12 00:00:00 | 2072.29 | 2072.29 | 2045.66 | 2045.97 |   -0.012701    |        0 |             1 |
| 2015-11-11 00:00:00 | 2083.41 | 2086.94 | 2074.85 | 2075    |   -0.00403661  |        0 |             1 |
| 2015-11-10 00:00:00 | 2077.19 | 2083.67 | 2069.91 | 2081.72 |    0.00218084  |        0 |             1 |
| 2015-11-09 00:00:00 | 2096.56 | 2096.56 | 2068.24 | 2078.58 |   -0.00857594  |        1 |             1 |
| 2015-11-06 00:00:00 | 2098.6  | 2101.91 | 2083.74 | 2099.2  |    0.000285835 |        0 |             1 |
| 2015-11-05 00:00:00 | 2101.68 | 2108.78 | 2090.41 | 2099.93 |   -0.000832667 |        0 |             1 |
| 2015-11-04 00:00:00 | 2110.6  | 2114.59 | 2096.98 | 2102.31 |   -0.00392781  |        0 |             1 |
| 2015-11-03 00:00:00 | 2102.63 | 2116.48 | 2097.51 | 2109.79 |    0.00340533  |        0 |             1 |
| 2015-11-02 00:00:00 | 2080.76 | 2106.2  | 2080.76 | 2104.05 |    0.011193    |        1 |             1 |
| 2015-10-30 00:00:00 | 2090    | 2094.32 | 2079.34 | 2079.36 |   -0.00509086  |        1 |             1 |
| 2015-10-29 00:00:00 | 2088.35 | 2092.52 | 2082.63 | 2089.41 |    0.000507489 |        0 |             1 |
| 2015-10-28 00:00:00 | 2066.48 | 2090.35 | 2063.11 | 2090.35 |    0.0115511   |        0 |             1 |
| 2015-10-27 00:00:00 | 2068.75 | 2070.37 | 2058.84 | 2065.89 |   -0.00138253  |        1 |             1 |
| 2015-10-26 00:00:00 | 2075.08 | 2075.14 | 2066.53 | 2071.18 |   -0.00187952  |        0 |             1 |
| 2015-10-23 00:00:00 | 2058.19 | 2079.74 | 2058.19 | 2075.15 |    0.00824023  |        0 |             1 |
| 2015-10-22 00:00:00 | 2021.88 | 2055.2  | 2021.88 | 2052.51 |    0.0151493   |        1 |             1 |
| 2015-10-21 00:00:00 | 2033.47 | 2037.97 | 2017.22 | 2018.94 |   -0.00714544  |        1 |             1 |
| 2015-10-20 00:00:00 | 2033.13 | 2039.12 | 2026.61 | 2030.77 |   -0.00116076  |        0 |             1 |
| 2015-10-19 00:00:00 | 2031.73 | 2034.45 | 2022.31 | 2033.66 |    0.000949956 |        0 |             1 |
| 2015-10-16 00:00:00 | 2024.37 | 2033.54 | 2020.46 | 2033.11 |    0.00431739  |        1 |             1 |
| 2015-10-15 00:00:00 | 1996.47 | 2024.15 | 1996.47 | 2023.86 |    0.0137192   |        1 |             1 |
| 2015-10-14 00:00:00 | 2003.66 | 2009.56 | 1990.73 | 1994.24 |   -0.00470142  |        1 |             1 |
| 2015-10-13 00:00:00 | 2015    | 2022.34 | 2001.78 | 2003.69 |   -0.00561293  |        0 |             1 |
| 2015-10-12 00:00:00 | 2015.65 | 2018.66 | 2010.55 | 2017.46 |    0.000897942 |        0 |             1 |
| 2015-10-09 00:00:00 | 2013.73 | 2020.13 | 2007.61 | 2014.89 |    0.000576062 |        1 |             1 |
| 2015-10-08 00:00:00 | 1994.01 | 2016.5  | 1987.53 | 2013.43 |    0.00973919  |        1 |             1 |
| 2015-10-07 00:00:00 | 1982.34 | 1999.31 | 1976.44 | 1995.83 |    0.00680508  |        1 |             1 |
| 2015-10-06 00:00:00 | 1986.63 | 1991.62 | 1971.99 | 1979.92 |   -0.00337756  |        1 |             1 |
| 2015-10-05 00:00:00 | 1954.33 | 1989.17 | 1954.33 | 1987.05 |    0.0167424   |        0 |             1 |
| 2015-10-02 00:00:00 | 1921.77 | 1951.36 | 1893.7  | 1951.36 |    0.0153972   |        1 |             1 |
| 2015-10-01 00:00:00 | 1919.65 | 1927.21 | 1900.7  | 1923.82 |    0.00217223  |        1 |             1 |
| 2015-09-30 00:00:00 | 1887.14 | 1920.53 | 1887.14 | 1920.03 |    0.0174285   |        1 |             1 |
| 2015-09-29 00:00:00 | 1881.9  | 1899.48 | 1871.91 | 1884.09 |    0.00116369  |        1 |             1 |
| 2015-09-28 00:00:00 | 1929.18 | 1929.18 | 1879.21 | 1881.77 |   -0.0245752   |        1 |             1 |
| 2015-09-25 00:00:00 | 1935.93 | 1952.89 | 1921.5  | 1931.34 |   -0.002371    |        0 |             1 |
| 2015-09-24 00:00:00 | 1934.81 | 1937.17 | 1908.92 | 1932.24 |   -0.00132833  |        0 |             1 |
