> from tabulate import tabulate
> print tabulate(sp500.tail(100), headers='keys', tablefmt='psql', showindex=True)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)

+---------------------------+---------+---------+---------+---------+-------------+-------------+----------------+
| Date                      |    Open |    High |     Low |   Close |      Volume |   Dividends |   Stock Splits |
| 2025-03-28 00:00:00-04:00 | 5679.2  | 5685.89 | 5572.42 | 5580.94 | 4.51333e+09 |           0 |              0 |
| 2025-03-31 00:00:00-04:00 | 5527.91 | 5627.56 | 5488.73 | 5611.85 | 5.25725e+09 |           0 |              0 |
| 2025-04-01 00:00:00-04:00 | 5597.53 | 5650.57 | 5558.52 | 5633.07 | 4.4345e+09  |           0 |              0 |
| 2025-04-02 00:00:00-04:00 | 5580.76 | 5695.31 | 5571.48 | 5670.97 | 4.24383e+09 |           0 |              0 |
| 2025-04-03 00:00:00-04:00 | 5492.74 | 5499.53 | 5390.83 | 5396.52 | 7.21047e+09 |           0 |              0 |
| 2025-04-04 00:00:00-04:00 | 5292.14 | 5292.14 | 5069.9  | 5074.08 | 8.8535e+09  |           0 |              0 |
| 2025-04-07 00:00:00-04:00 | 4953.79 | 5246.57 | 4835.04 | 5062.25 | 8.69198e+09 |           0 |              0 |
| 2025-04-08 00:00:00-04:00 | 5193.57 | 5267.47 | 4910.42 | 4982.77 | 7.40814e+09 |           0 |              0 |
| 2025-04-09 00:00:00-04:00 | 4965.28 | 5481.34 | 4948.43 | 5456.9  | 9.4896e+09  |           0 |              0 |
| 2025-04-10 00:00:00-04:00 | 5353.15 | 5353.15 | 5115.27 | 5268.05 | 6.67714e+09 |           0 |              0 |
| 2025-04-11 00:00:00-04:00 | 5255.56 | 5381.46 | 5220.77 | 5363.36 | 5.60255e+09 |           0 |              0 |
| 2025-04-14 00:00:00-04:00 | 5441.96 | 5459.46 | 5358.02 | 5405.97 | 5.03144e+09 |           0 |              0 |
| 2025-04-15 00:00:00-04:00 | 5411.99 | 5450.41 | 5386.44 | 5396.63 | 4.31711e+09 |           0 |              0 |
| 2025-04-16 00:00:00-04:00 | 5335.75 | 5367.24 | 5220.79 | 5275.7  | 4.60775e+09 |           0 |              0 |
| 2025-04-17 00:00:00-04:00 | 5305.45 | 5328.31 | 5255.58 | 5282.7  | 4.71488e+09 |           0 |              0 |
| 2025-04-21 00:00:00-04:00 | 5232.94 | 5232.94 | 5101.63 | 5158.2  | 4.22634e+09 |           0 |              0 |
| 2025-04-22 00:00:00-04:00 | 5207.67 | 5309.61 | 5207.67 | 5287.76 | 4.66695e+09 |           0 |              0 |
| 2025-04-23 00:00:00-04:00 | 5395.92 | 5469.69 | 5356.17 | 5375.86 | 5.37139e+09 |           0 |              0 |
| 2025-04-24 00:00:00-04:00 | 5381.38 | 5489.4  | 5371.96 | 5484.77 | 4.69771e+09 |           0 |              0 |
| 2025-04-25 00:00:00-04:00 | 5489.73 | 5528.11 | 5455.86 | 5525.21 | 4.23658e+09 |           0 |              0 |
| 2025-04-28 00:00:00-04:00 | 5529.22 | 5553.66 | 5468.64 | 5528.75 | 4.25788e+09 |           0 |              0 |
| 2025-04-29 00:00:00-04:00 | 5508.87 | 5571.95 | 5505.7  | 5560.83 | 4.74715e+09 |           0 |              0 |
| 2025-04-30 00:00:00-04:00 | 5499.44 | 5581.84 | 5433.24 | 5569.06 | 5.44949e+09 |           0 |              0 |
| 2025-05-01 00:00:00-04:00 | 5625.14 | 5658.91 | 5597.35 | 5604.14 | 4.93527e+09 |           0 |              0 |
| 2025-05-02 00:00:00-04:00 | 5645.88 | 5700.7  | 5642.28 | 5686.67 | 4.85438e+09 |           0 |              0 |
| 2025-05-05 00:00:00-04:00 | 5655.32 | 5683.38 | 5634.48 | 5650.38 | 4.35826e+09 |           0 |              0 |
| 2025-05-06 00:00:00-04:00 | 5605.87 | 5649.58 | 5586.04 | 5606.91 | 4.71726e+09 |           0 |              0 |
| 2025-05-07 00:00:00-04:00 | 5614.18 | 5654.73 | 5578.64 | 5631.28 | 4.98744e+09 |           0 |              0 |
| 2025-05-08 00:00:00-04:00 | 5663.6  | 5720.1  | 5635.38 | 5663.94 | 5.6274e+09  |           0 |              0 |
| 2025-05-09 00:00:00-04:00 | 5679.65 | 5691.69 | 5644.15 | 5659.91 | 4.64509e+09 |           0 |              0 |
| 2025-05-12 00:00:00-04:00 | 5807.2  | 5845.37 | 5786.08 | 5844.19 | 6.01458e+09 |           0 |              0 |
| 2025-05-13 00:00:00-04:00 | 5854.15 | 5906.64 | 5845.02 | 5886.55 | 5.51629e+09 |           0 |              0 |
| 2025-05-14 00:00:00-04:00 | 5896.74 | 5906.55 | 5872.11 | 5892.58 | 5.23345e+09 |           0 |              0 |
| 2025-05-15 00:00:00-04:00 | 5869.82 | 5924.21 | 5865.16 | 5916.93 | 4.99129e+09 |           0 |              0 |
| 2025-05-16 00:00:00-04:00 | 5929.09 | 5958.62 | 5907.36 | 5958.38 | 4.85085e+09 |           0 |              0 |
+---------------------------+---------+---------+---------+---------+-------------+-------------+----------------+
